order_id,order_date,product,category,customer_id,price,quantity,year,month,year_month,revenue
1559,2021-01-01,Sony WH-1000XM5,Headphones,CUST-0185,294.0,4,2021,1,2021-01,1176.0
667,2021-01-01,JBL Flip 6,Speakers,CUST-0108,118.0,4,2021,1,2021-01,472.0
1293,2021-01-01,Dell XPS 13,Laptops,CUST-0153,1572.0,1,2021,1,2021-01,1572.0
55,2021-01-02,iPhone 14,Smartphones,CUST-0254,939.0,1,2021,1,2021-01,939.0
2932,2021-01-02,Apple Watch,Wearables,CUST-0251,327.0,1,2021,1,2021-01,327.0
958,2021-01-03,Logitech MX Master 3,Accessories,CUST-0206,113.0,4,2021,1,2021-01,452.0
320,2021-01-03,MacBook Pro,Laptops,CUST-0269,1519.0,1,2021,1,2021-01,1519.0
1986,2021-01-03,MacBook Pro,Laptops,CUST-0236,1485.0,1,2021,1,2021-01,1485.0
796,2021-01-05,Dell XPS 13,Laptops,CUST-0248,1453.0,1,2021,1,2021-01,1453.0
2425,2021-01-05,iPhone 14,Smartphones,CUST-0205,981.0,3,2021,1,2021-01,2943.0
1106,2021-01-06,AirPods Pro,Accessories,CUST-0058,98.0,3,2021,1,2021-01,294.0
179,2021-01-08,iPhone 14,Smartphones,CUST-0253,979.0,3,2021,1,2021-01,2937.0
2296,2021-01-08,Dell XPS 13,Laptops,CUST-0269,1590.0,1,2021,1,2021-01,1590.0
2954,2021-01-09,iPhone 14,Smartphones,CUST-0213,847.0,1,2021,1,2021-01,847.0
2801,2021-01-09,Apple Watch,Wearables,CUST-0201,208.0,3,2021,1,2021-01,624.0
449,2021-01-10,JBL Flip 6,Speakers,CUST-0121,224.0,2,2021,1,2021-01,448.0
848,2021-01-10,Logitech MX Master 3,Accessories,CUST-0273,117.0,4,2021,1,2021-01,468.0
365,2021-01-11,Apple Watch,Wearables,CUST-0289,251.0,1,2021,1,2021-01,251.0
227,2021-01-11,Fitbit Charge 6,Wearables,CUST-0038,283.0,4,2021,1,2021-01,1132.0
