order_id,order_date,product,category,customer_id,price,quantity
1,2024-02-01,Dell XPS 13,Laptops,CUST-0271,1506.0,4
2,2023-11-11,Sony WH-1000XM5,Headphones,CUST-0122,274.0,3
3,2021-03-29,AirPods Pro,Accessories,CUST-0100,153.0,4
4,2021-05-11,Logitech MX Master 3,Accessories,CUST-0258,137.0,4
5,2024-12-08,Logitech MX Master 3,Accessories,CUST-0192,237.0,1
6,2024-03-30,Fitbit Charge 6,Wearables,CUST-0022,238.0,1
7,2022-04-20,Fitbit Charge 6,Wearables,CUST-0188,164.0,2
8,2023-08-16,MacBook Pro,Laptops,CUST-0055,1463.0,1
9,2024-02-29,AirPods Pro,Accessories,CUST-0135,70.0,1
10,2021-06-16,Samsung S23,Smartphones,CUST-0089,859.0,2
11,2021-08-30,Fitbit Charge 6,Wearables,CUST-0265,239.0,1
12,2023-06-17,Dell XPS 13,Laptops,CUST-0092,1510.0,4
13,2024-12-22,JBL Flip 6,Speakers,CUST-0035,180.0,4
14,2024-11-12,Samsung S23,Smartphones,CUST-0054,905.0,4
15,2022-12-04,Samsung S23,Smartphones,CUST-0218,843.0,2
16,2021-07-21,Dell XPS 13,Laptops,CUST-0270,1494.0,4
17,2024-07-18,JBL Flip 6,Speakers,CUST-0215,289.0,4
18,2022-12-21,Samsung S23,Smartphones,CUST-0053,823.0,2
19,2021-08-05,Apple Watch,Wearables,CUST-0157,164.0,1
20,2021-03-06,Apple Watch,Wearables,CUST-0009,237.0,1
21,2022-10-10,JBL Flip 6,Speakers,CUST-0063,238.0,3
22,2022-08-16,JBL Flip 6,Speakers,CUST-0163,262.0,1
23,2022-01-14,AirPods Pro,Accessories,CUST-0231,90.0,4
24,2021-05-15,Apple Watch,Wearables,CUST-0268,311.0,1
25,2023-12-08,Sony WH-1000XM5,Headphones,CUST-0062,236.0,3
26,2022-11-15,JBL Flip 6,Speakers,CUST-0214,134.0,1
27,2022-09-05,MacBook Pro,Laptops,CUST-0257,1404.0,2
28,2022-05-18,Sony WH-1000XM5,Headphones,CUST-0283,336.0,3
29,2023-11-05,Fitbit Charge 6,Wearables,CUST-0042,273.0,1
30,2023-05-14,Sony WH-1000XM5,Headphones,CUST-0241,251.0,1
31,2021-04-06,Dell XPS 13,Laptops,CUST-0222,1550.0,3
32,2023-01-19,Dell XPS 13,Laptops,CUST-0013,1559.0,3
33,2024-06-20,Logitech MX Master 3,Accessories,CUST-0284,115.0,2
34,2022-07-11,Apple Watch,Wearables,CUST-0134,177.0,4
35,2024-09-25,Fitbit Charge 6,Wearables,CUST-0231,339.0,1
36,2024-11-09,Apple Watch,Wearables,CUST-0283,339.0,1
37,2022-09-20,Apple Watch,Wearables,CUST-0259,252.0,2
38,2024-12-05,Apple Watch,Wearables,CUST-0165,200.0,2
